Typ,Time,Temp,lon,lat,altitude
Bicycle,26.06.2019 2:09,22.45,7.434673,46.95286,574.9837
Bicycle,26.06.2019 2:09,22.45,7.434673,46.95286,574.9857
Bicycle,26.06.2019 2:09,22.45,7.434673,46.95286,574.9877
Bicycle,26.06.2019 2:09,22.45,7.434673,46.95286,574.9897
Bicycle,26.06.2019 2:09,22.45,7.434673,46.95286,574.9917
Bicycle,26.06.2019 2:10,22.45,7.434673,46.95286,574.9937
Bicycle,26.06.2019 2:10,22.45,7.434673,46.95286,574.9958
Bicycle,26.06.2019 2:10,22.46,7.434673,46.95286,574.9978
Bicycle,26.06.2019 2:10,22.46,7.434673,46.95286,574.9998
Bicycle,26.06.2019 2:10,22.47,7.434669,46.95286,573
Bicycle,26.06.2019 2:10,22.47,7.434663,46.95284,574
Bicycle,26.06.2019 2:11,22.49,7.434631,46.95288,573
Bicycle,26.06.2019 2:11,22.48,7.434661,46.95295,575
Bicycle,26.06.2019 2:11,22.5,7.434693,46.95291,576
Bicycle,26.06.2019 2:11,22.51,7.434778,46.9529,576
Bicycle,26.06.2019 2:14,22.52,7.435655,46.95295,582
Bicycle,26.06.2019 2:14,22.52,7.435449,46.95321,582
Bicycle,26.06.2019 2:14,22.52,7.434974,46.95348,583
Bicycle,26.06.2019 2:14,22.52,7.434498,46.95378,587
Bicycle,26.06.2019 2:14,22.52,7.433982,46.95407,589.6667
Bicycle,26.06.2019 2:14,22.52,7.433459,46.95435,591
Bicycle,26.06.2019 2:15,22.52,7.433493,46.95465,594
Bicycle,26.06.2019 2:15,22.53,7.433893,46.95498,595
Bicycle,26.06.2019 2:15,22.54,7.434275,46.9553,596
Bicycle,26.06.2019 2:15,22.57,7.434799,46.95555,597
Bicycle,26.06.2019 2:15,22.55,7.435388,46.95579,596
Bicycle,26.06.2019 2:15,22.56,7.435948,46.95606,596
Bicycle,26.06.2019 2:16,22.58,7.435721,46.95634,598
Bicycle,26.06.2019 2:16,22.58,7.435403,46.95671,600
Bicycle,26.06.2019 2:16,22.58,7.435039,46.95702,599
Bicycle,26.06.2019 2:16,22.58,7.434604,46.9573,602
Bicycle,26.06.2019 2:16,22.58,7.434188,46.95765,603
Bicycle,26.06.2019 2:16,22.58,7.434423,46.95786,607
Bicycle,26.06.2019 2:17,22.58,7.434829,46.95802,613
Bicycle,26.06.2019 2:17,22.61,7.435298,46.95807,612
Bicycle,26.06.2019 2:17,22.59,7.435426,46.95794,606
Bicycle,26.06.2019 2:17,22.58,7.435424,46.95794,606
Bicycle,26.06.2019 2:17,22.58,7.435446,46.95792,605
Bicycle,26.06.2019 2:17,22.56,7.435408,46.95793,603
Bicycle,26.06.2019 2:18,22.52,7.435178,46.95815,601
Bicycle,26.06.2019 2:18,22.5,7.435349,46.95835,600
Bicycle,26.06.2019 2:18,22.45,7.435696,46.95852,601
Bicycle,26.06.2019 2:18,22.41,7.435968,46.95881,601
Bicycle,26.06.2019 2:18,22.35,7.435779,46.95909,598
Bicycle,26.06.2019 2:18,22.31,7.435584,46.95938,598
Bicycle,26.06.2019 2:19,22.25,7.435343,46.95962,598
Bicycle,26.06.2019 2:19,22.19,7.435126,46.95984,598
Bicycle,26.06.2019 2:19,22.13,7.434883,46.96005,600
Bicycle,26.06.2019 2:19,22.07,7.43464,46.96029,601
Bicycle,26.06.2019 2:19,22.01,7.434411,46.96052,603
Bicycle,26.06.2019 2:19,21.94,7.434286,46.96077,604
Bicycle,26.06.2019 2:20,21.86,7.434101,46.96097,601
Bicycle,26.06.2019 2:20,21.75,7.433901,46.96117,597
Bicycle,26.06.2019 2:20,21.67,7.433698,46.96134,595
Bicycle,26.06.2019 2:20,21.6,7.433473,46.96153,598
Bicycle,26.06.2019 2:20,21.57,7.433321,46.96169,602
Bicycle,26.06.2019 2:20,21.51,7.433399,46.96182,607
Bicycle,26.06.2019 2:21,21.51,7.433533,46.96194,613
Bicycle,26.06.2019 2:21,21.51,7.433656,46.9621,620
Bicycle,26.06.2019 2:21,21.5,7.433924,46.9622,626
Bicycle,26.06.2019 2:21,21.45,7.434261,46.96229,630
Bicycle,26.06.2019 2:21,21.45,7.434663,46.96239,633
Bicycle,26.06.2019 2:21,21.39,7.435256,46.96245,634
Bicycle,26.06.2019 2:22,21.37,7.435796,46.96254,633
Bicycle,26.06.2019 2:22,21.3,7.436098,46.96296,625
Bicycle,26.06.2019 2:22,21.23,7.436351,46.96334,619
Bicycle,26.06.2019 2:22,21.18,7.436588,46.96369,610
Bicycle,26.06.2019 2:22,21.18,7.436755,46.96407,606
Bicycle,26.06.2019 2:22,21.18,7.436918,46.96446,606
Bicycle,26.06.2019 2:23,21.18,7.437038,46.96463,604
Bicycle,26.06.2019 2:23,21.18,7.437131,46.96484,607
Bicycle,26.06.2019 2:23,21.19,7.437196,46.9651,608
Bicycle,26.06.2019 2:23,21.23,7.437326,46.96541,610
Bicycle,26.06.2019 2:23,21.24,7.437403,46.96572,609
Bicycle,26.06.2019 2:23,21.24,7.437495,46.96598,608
Bicycle,26.06.2019 2:24,21.28,7.437713,46.96622,611
Bicycle,26.06.2019 2:24,21.31,7.438358,46.96635,604
Bicycle,26.06.2019 2:24,21.26,7.439108,46.96647,599
Bicycle,26.06.2019 2:24,21.24,7.439858,46.96638,595
Bicycle,26.06.2019 2:24,21.25,7.440561,46.96614,594
Bicycle,26.06.2019 2:41,19.37,7.461934,46.99067,556
Bicycle,26.06.2019 2:42,19.37,7.461914,46.99066,556
Bicycle,26.06.2019 2:42,19.37,7.461911,46.99066,556
Bicycle,26.06.2019 2:42,19.37,7.461908,46.99065,556
